strategy,run,timeSeconds,remainingTrashMass,remainingTrashCount,collectionRate,idleAgentCount,idleAgentRate,zoneImbalance
random,0,190.0,1408,1228,0.1785297549591599,9,0.45,2978.9981553819443
random,0,191.0,1407,1227,0.17911318553092181,9,0.45,2979.621283637153
random,0,192.0,1404,1224,0.18086347724620766,10,0.5,2983.170111762153
random,0,193.0,1404,1224,0.18086347724620766,8,0.4,2983.170111762153
random,0,194.0,1404,1224,0.18086347724620766,8,0.4,2983.170111762153
random,0,195.0,1404,1224,0.18086347724620766,8,0.4,2983.170111762153
random,0,196.0,1403,1223,0.18144690781796968,9,0.45,2983.813259548611
random,0,197.0,1402,1222,0.1820303383897316,9,0.45,2979.9590928819443
random,0,198.0,1402,1222,0.1820303383897316,9,0.45,2979.9590928819443
random,0,199.0,1402,1222,0.1820303383897316,9,0.45,2979.9590928819443
random,0,200.0,1401,1221,0.18261376896149362,10,0.5,2982.347113715278
random,0,201.0,1401,1221,0.18261376896149362,9,0.45,2982.347113715278
random,0,202.0,1401,1221,0.18261376896149362,9,0.45,2982.347113715278
random,0,203.0,1401,1221,0.18261376896149362,9,0.45,2982.347113715278
random,0,204.0,1399,1219,0.18378063010501755,10,0.5,2987.4747178819443
random,0,205.0,1399,1219,0.18378063010501755,9,0.45,2987.4747178819443
random,0,206.0,1399,1219,0.18378063010501755,9,0.45,2987.4747178819443
random,0,207.0,1398,1218,0.18436406067677946,10,0.5,2985.298611111111
random,0,208.0,1398,1218,0.18436406067677946,10,0.5,2985.298611111111
random,0,209.0,1398,1218,0.18436406067677946,10,0.5,2985.298611111111
random,0,210.0,1398,1218,0.18436406067677946,10,0.5,2985.298611111111
random,0,211.0,1398,1218,0.18436406067677946,10,0.5,2985.298611111111
random,0,212.0,1398,1218,0.18436406067677946,10,0.5,2985.298611111111
random,0,213.0,1397,1217,0.18494749124854137,11,0.55,2985.9402940538193
random,0,214.0,1396,1216,0.1855309218203034,11,0.55,2987.174018012153
random,0,215.0,1395,1215,0.1861143523920653,11,0.55,2983.274929470486
random,0,216.0,1395,1215,0.1861143523920653,10,0.5,2956.83984375
random,0,217.0,1395,1215,0.1861143523920653,10,0.5,2956.83984375
random,0,218.0,1395,1215,0.1861143523920653,10,0.5,2956.83984375
random,0,219.0,1390,1210,0.1890315052508752,12,0.6,2959.236111111111
random,0,220.0,1389,1209,0.1896149358226371,11,0.55,2955.5655381944443
random,0,221.0,1389,1209,0.1896149358226371,10,0.5,2955.5655381944443
random,0,222.0,1388,1208,0.19019836639439902,11,0.55,2958.387152777778
random,0,223.0,1388,1208,0.19019836639439902,10,0.5,2958.387152777778
random,0,224.0,1386,1206,0.19136522753792296,12,0.6,2955.0815972222226
random,0,225.0,1386,1206,0.19136522753792296,10,0.5,2955.0815972222226
random,0,226.0,1385,1205,0.19194865810968498,11,0.55,2958.009982638889
random,0,227.0,1384,1204,0.1925320886814469,11,0.55,2959.5555555555557
random,0,228.0,1383,1203,0.1931155192532089,11,0.55,2959.819010416667
random,0,229.0,1383,1203,0.1931155192532089,10,0.5,2959.819010416667
random,0,230.0,1381,1201,0.19428238039673273,12,0.6,2959.3815104166665
random,0,231.0,1381,1201,0.19428238039673273,10,0.5,2959.3815104166665
random,0,232.0,1381,1201,0.19428238039673273,10,0.5,2959.3815104166665
random,0,233.0,1381,1201,0.19428238039673273,10,0.5,2959.3815104166665
random,0,234.0,1377,1199,0.1966161026837806,12,0.6,2969.430121527778
random,0,235.0,1377,1199,0.1966161026837806,10,0.5,2969.430121527778
random,0,236.0,1376,1198,0.19719953325554263,11,0.55,2966.048611111111
random,0,237.0,1376,1198,0.19719953325554263,11,0.55,2966.048611111111
random,0,238.0,1375,1197,0.19778296382730454,12,0.6,2969.5342881944443
random,0,239.0,1375,1197,0.19778296382730454,11,0.55,2969.5342881944443
random,0,240.0,1373,1196,0.19894982497082847,12,0.6,2970.08984375
random,0,241.0,1373,1196,0.19894982497082847,11,0.55,2970.08984375
